coreproject,pmid,applid
T32HL007380,16463759,3540797
M01RR000425,16772250,7994747
R01HL051519,16772250,6638367
R01HL051519,16463759,6638367
R01HL048107,15842971,7111716
P50AT000082,15842971,6949211
RC1HL100386,15842971,7937723
R01HL051519,10600068,6638367
R01HL051519,15842971,6638367
R01HL049910,16463759,6637470
P50AT000082,16463759,6949211
R01HL048107,16463759,7111716
R01HL060703,16463759,6537424
R01HL051519,11763829,6638367
R01HL051519,10700487,6638367
R01AT000226,16772250,6171956
K23RR016180,16772250,6774738
P01CA052009,8084617,3094486
R01GM049489,7729597,846980
P30CA012227,8901417,2086047
P30CA012227,8314083,2086047
R01CA065779,8632905,2683583
R01GM049489,8632905,846980
P30CA012227,8565328,2086047
P30CA012227,7821212,2086047
P41RR002188,7821212,2281621
R01HD027533,7558687,2200483
R01GM049489,9110315,846980
P30CA012227,9110315,2086047
P30CA012227,8632905,2086047
R01HD022681,8314083,9269467
R01GM049489,8314083,846980
R01GM049489,8565328,846980
P30CA012227,8565329,2086047
R01GM049489,8588930,846980
P30CA012227,8808690,2086047
R37HD022681,8314083,7098816
P30CA012227,7558687,2086047
R01GM049489,7558687,846980
R01GM049489,7821212,846980
R01GM049489,8200476,846980
R01GM033160,7729597,6635901
P30CA012227,7729597,2086047
R01GM049489,8901417,846980
P30CA012227,8882812,2086047
R01GM049489,8565329,846980
P30CA012227,8588930,2086047
R01GM049489,8808690,846980
R01GM049489,7619501,846980
R01GM049489,8084617,846980
P30CA012227,8084617,2086047
R01GM049489,9622625,846980
R01HD015563,8808690,6699995
R01GM049489,8882812,846980
P30CA012227,7619501,2086047
P01HD021355,8200476,3096991
P30CA012227,8200476,2086047
R01GM038567,2378903,1004332
R01GM038567,2019597,1004332
R01GM034497,9325335,7171931
T32GM007062,9325335,9948661
R01GM038567,1530990,1004332
R01GM038567,1899026,1004332
R01GM038567,2166028,1004332
R01GM038567,8022785,1004332
R37GM034497,9325335,2634647
R01GM038567,9325335,1004332
R01GM038567,8906867,1004332
T32GM007062,8022785,9948661
R01GM038567,11210569,1004332
R01GM038567,1527166,1004332
R01GM038567,2387861,1004332
R01DK034400,1554357,2139303
R01DK040995,8301227,1048901
R01DK040995,8729105,1048901
R01DK040995,1928339,1048901
R01DK034400,2224180,2139303
R01DK040995,2224180,1048901
R01DK040995,1443132,1048901
R01AI041401,9435257,6751928
R01DK040995,9276749,1048901
R01AI041401,11915908,6751928
R01DK040995,9665109,1048901
